composer,title,midi_path,metadata,metadata_composer,metadata_title,bootleg_score_path
"Bach, Johann Sebastian","Polonaise in F major, BWV Anh.117a","../GiantMIDI/midis/Bach, Johann Sebastian, Polonaise in F major, BWV Anh.117a, W_ZWH7wGB1M.mid",True,"Bach, Johann Sebastian",Polonaise in F major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Polonaise_in_F_major_"
"Bach, Johann Sebastian","Prelude and Fughetta in D minor, BWV 899","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fughetta in D minor, BWV 899, YyCQ61sisds.mid",True,"Bach, Johann Sebastian",Fughetta,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fughetta_"
"Bach, Johann Sebastian","Prelude and Fughetta in E minor, BWV 900","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fughetta in E minor, BWV 900, 3M_Bf7iwPlA.mid",True,"Bach, Johann Sebastian",Fughetta,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fughetta_"
"Bach, Johann Sebastian","Prelude and Fughetta in G major, BWV 902","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fughetta in G major, BWV 902, aYPld96pzR4.mid",True,"Bach, Johann Sebastian",Fughetta,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fughetta_"
"Bach, Johann Sebastian","Prelude and Fugue on 'B-A-C-H', BWV 898","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue on 'B-A-C-H', BWV 898, 1wovG2n62qU.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C major, BWV 846","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C major, BWV 846, 0KQW2YnCUrE.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C minor, BWV 847","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C minor, BWV 847, R0nZjkh-U7I.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C-sharp major, BWV 848","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C-sharp major, BWV 848, Z-c8WG2GTaI.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C-sharp minor, BWV 849","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C-sharp minor, BWV 849, zdD_QygwRuY.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in D major, BWV 850","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in D major, BWV 850, K_85VWhfSRA.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in D minor, BWV 851","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in D minor, BWV 851, UNMeJXzIajU.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E-flat major, BWV 852","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E-flat major, BWV 852, WkybC_k5GiQ.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E-flat minor, BWV 853","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E-flat minor, BWV 853, xFTvjRpaU38.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E major, BWV 854","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E major, BWV 854, 02zSKrRQRjM.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E minor, BWV 855","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E minor, BWV 855, PgKQLV7hfv4.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F minor, BWV 857","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F minor, BWV 857, X9Z_FVjMSWc.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F-sharp major, BWV 858","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F-sharp major, BWV 858, lJCpUW1Q1yc.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F-sharp minor, BWV 859","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F-sharp minor, BWV 859, RjAQLU23keI.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G major, BWV 860","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G major, BWV 860, gNlXYLsC_Vs.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G minor, BWV 861","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G minor, BWV 861, AZKif28jMUg.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A-flat major, BWV 862","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A-flat major, BWV 862, gCL5Zvnt0TU.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G-sharp minor, BWV 863","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G-sharp minor, BWV 863, 9tezjkEkzW4.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A major, BWV 864","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A major, BWV 864, WKNfd8GzFjw.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B-flat major, BWV 866","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B-flat major, BWV 866, Y9KHhjUwG14.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B-flat minor, BWV 867","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B-flat minor, BWV 867, rHMp-iy-poo.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B major, BWV 868","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B major, BWV 868, bfjaxVZPpHc.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B minor, BWV 869","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B minor, BWV 869, SmE6zH0kErM.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C major, BWV 870","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C major, BWV 870, F1lajYAtdGg.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C minor, BWV 871","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C minor, BWV 871, nTY1tN7aoCw.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C-sharp major, BWV 872","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C-sharp major, BWV 872, QEqBamNZDEE.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in C-sharp minor, BWV 873","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in C-sharp minor, BWV 873, 0xW-dH0a23s.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in D major, BWV 874","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in D major, BWV 874, nJZ_DHdG27Q.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in D minor, BWV 875","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in D minor, BWV 875, 0RZ5N6hVYA8.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E-flat major, BWV 876","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E-flat major, BWV 876, 4p05T6WeAY0.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E-flat minor, BWV 877","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E-flat minor, BWV 877, BHZvrFruBF8.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E major, BWV 878","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E major, BWV 878, N8SsvLjnwf4.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in E minor, BWV 879","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in E minor, BWV 879, ldNuMYFVcvE.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F major, BWV 880","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F major, BWV 880, JPKNAbVDjA0.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F minor, BWV 881","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F minor, BWV 881, oZQQxIXiqN8.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F-sharp major, BWV 882","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F-sharp major, BWV 882, Jc9cDqnAlZo.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in F-sharp minor, BWV 883","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in F-sharp minor, BWV 883, 1lvTBkXf468.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G major, BWV 884","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G major, BWV 884, cwrH49CnzwQ.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G minor, BWV 885","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G minor, BWV 885, 9XCS5COS8Fs.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A-flat major, BWV 886","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A-flat major, BWV 886, 5qfTOKrfzdU.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in G-sharp minor, BWV 887","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in G-sharp minor, BWV 887, WLzcq-5jNy4.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A major, BWV 888","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A major, BWV 888, dBj7TNg4uWs.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A minor, BWV 889","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A minor, BWV 889, aPSCHZnjw2k.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B-flat major, BWV 890","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B-flat major, BWV 890, Bku5wYGkCFg.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B-flat minor, BWV 891","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B-flat minor, BWV 891, DvMpEyeYyo4.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B major, BWV 892","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B major, BWV 892, OCnENbenhzw.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in B minor, BWV 893","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in B minor, BWV 893, bp4Y8buWb3k.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude and Fugue in A minor, BWV 894","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude and Fugue in A minor, BWV 894, zYccvhhTmNw.mid",True,"Bach, Johann Sebastian",Fugue,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Fugue_"
"Bach, Johann Sebastian","Prelude in A minor, BWV 922","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude in A minor, BWV 922, 88dJlWFuTYg.mid",True,"Bach, Johann Sebastian",Prelude,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Prelude_"
"Bach, Johann Sebastian","Prelude in C minor, BWV 921","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude in C minor, BWV 921, mn6b-hD_af8.mid",True,"Bach, Johann Sebastian",Little Prelude in C minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Little_Prelude_in_C_minor_"
"Bach, Johann Sebastian","Prelude in C minor, BWV 999","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude in C minor, BWV 999, jmJ0gv2xNUo.mid",True,"Bach, Johann Sebastian",Little Prelude in C minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Little_Prelude_in_C_minor_"
"Bach, Johann Sebastian","Prelude in D major, BWV 925","../GiantMIDI/midis/Bach, Johann Sebastian, Prelude in D major, BWV 925, d4J6MNqdbr0.mid",True,"Bach, Johann Sebastian",Little Prelude in D major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Little_Prelude_in_D_major_"
"Bach, Johann Sebastian","Sinfonia in C major, BWV 787","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in C major, BWV 787, 0YsHo4-HLlM.mid",True,"Bach, Johann Sebastian",Sinfonia in C major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_C_major_"
"Bach, Johann Sebastian","Sinfonia in C minor, BWV 788","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in C minor, BWV 788, 4nOY7cvHFcI.mid",True,"Bach, Johann Sebastian",Sinfonia in C minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_C_minor_"
"Bach, Johann Sebastian","Sinfonia in D major, BWV 789","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in D major, BWV 789, 6h-vn-Koutc.mid",True,"Bach, Johann Sebastian",Sinfonia in D major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_D_major_"
"Bach, Johann Sebastian","Sinfonia in D minor, BWV 790","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in D minor, BWV 790, yB53rd_nFBQ.mid",True,"Bach, Johann Sebastian",Sinfonia in D minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_D_minor_"
"Bach, Johann Sebastian","Sinfonia in E major, BWV 792","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in E major, BWV 792, E_AdANlUWd4.mid",True,"Bach, Johann Sebastian",Sinfonia in E major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_E_major_"
"Bach, Johann Sebastian","Sinfonia in E minor, BWV 793","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in E minor, BWV 793, TMkoMyjSZRc.mid",True,"Bach, Johann Sebastian",Sinfonia in E minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_E_minor_"
"Bach, Johann Sebastian","Sinfonia in F major, BWV 794","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in F major, BWV 794, iE5aRQ87fSA.mid",True,"Bach, Johann Sebastian",Sinfonia in F major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_F_major_"
"Bach, Johann Sebastian","Sinfonia in F minor, BWV 795","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in F minor, BWV 795, qF8-ijUYWU0.mid",True,"Bach, Johann Sebastian",Sinfonia in F minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_F_minor_"
"Bach, Johann Sebastian","Sinfonia in G major, BWV 796","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in G major, BWV 796, q8mPidNQI3s.mid",True,"Bach, Johann Sebastian",Sinfonia in G major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_G_major_"
"Bach, Johann Sebastian","Sinfonia in A major, BWV 798","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in A major, BWV 798, 4Criw3iCUpw.mid",True,"Bach, Johann Sebastian",Sinfonia in A major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_A_major_"
"Bach, Johann Sebastian","Sinfonia in A minor, BWV 799","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in A minor, BWV 799, PtIRqWiihT0.mid",True,"Bach, Johann Sebastian",Sinfonia in A minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_A_minor_"
"Bach, Johann Sebastian","Sinfonia in B-flat major, BWV 800","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in B-flat major, BWV 800, LC2jVWe85X0.mid",True,"Bach, Johann Sebastian",Sinfonia in B-flat major,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_B-flat_major_"
"Bach, Johann Sebastian","Sinfonia in B minor, BWV 801","../GiantMIDI/midis/Bach, Johann Sebastian, Sinfonia in B minor, BWV 801, RhT0ng7wgjw.mid",True,"Bach, Johann Sebastian",Sinfonia in B minor,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sinfonia_in_B_minor_"
"Bach, Johann Sebastian","15 Sinfonias, BWV 787-801","../GiantMIDI/midis/Bach, Johann Sebastian, 15 Sinfonias, BWV 787-801, ntLGHRX5XOE.mid",True,"Bach, Johann Sebastian",15 Sinfonias,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/15_Sinfonias_"
"Bach, Johann Sebastian","Sonata in C major, BWV 966","../GiantMIDI/midis/Bach, Johann Sebastian, Sonata in C major, BWV 966, uzxi8MbDqfM.mid",True,"Bach, Johann Sebastian",Sonata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sonata_"
"Bach, Johann Sebastian","Sonata in D major, BWV 963","../GiantMIDI/midis/Bach, Johann Sebastian, Sonata in D major, BWV 963, 4tb4_ngGAzE.mid",True,"Bach, Johann Sebastian",Sonata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Sonata_"
"Bach, Johann Sebastian","Suite in F minor, BWV 823","../GiantMIDI/midis/Bach, Johann Sebastian, Suite in F minor, BWV 823, merdbEC9wbA.mid",True,"Bach, Johann Sebastian",Suite,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Suite_"
"Bach, Johann Sebastian","Toccata in C minor, BWV 911","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in C minor, BWV 911, Fr5e2c9AJvA.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Toccata in D major, BWV 912","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in D major, BWV 912, I8tDTeajtCs.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Toccata in D minor, BWV 913","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in D minor, BWV 913, 2I43qGbYSc4.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Toccata in F-sharp minor, BWV 910","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in F-sharp minor, BWV 910, KsKOAaVHp_o.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Toccata in G major, BWV 916","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in G major, BWV 916, vPG1HlJ1_UE.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Toccata in G minor, BWV 915","../GiantMIDI/midis/Bach, Johann Sebastian, Toccata in G minor, BWV 915, XeRe4AeXWQ8.mid",True,"Bach, Johann Sebastian",Toccata,"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Toccata_"
"Bach, Johann Sebastian","Das wohltemperierte Klavier I, BWV 846-869","../GiantMIDI/midis/Bach, Johann Sebastian, Das wohltemperierte Klavier I, BWV 846-869, Ugc5FZsycAw.mid",True,"Bach, Johann Sebastian",Das wohltemperierte Klavier I (The Well-Tempered Clavier),"imslp_bootleg_dir-v1.1/Bach,_Johann_Sebastian/Das_wohltemperierte_Klavier_I_(The_Well-Tempered_Clavier)_"
"Bach, Leonhard Emil",6 Esquisses Polonaises,"../GiantMIDI/midis/Bach, Leonhard Emil, 6 Esquisses Polonaises, 5jNHvjANFjc.mid",False,,,
"Bach, Wilhelm Friedemann","Allemande in G minor, BWV 836 (Bach, Johann Sebastian)","../GiantMIDI/midis/Bach, Wilhelm Friedemann, Allemande in G minor, BWV 836 (Bach, Johann Sebastian), mCCux8jvhkA.mid",False,,,
"Bach, Wilhelm Friedemann",Kein Hälmlein wächst auf Erden,"../GiantMIDI/midis/Bach, Wilhelm Friedemann, Kein Hälmlein wächst auf Erden, PjKHx-_l3LQ.mid",False,,,
"Bach, Wilhelm Friedemann","Keyboard Sonata in C major, F.2","../GiantMIDI/midis/Bach, Wilhelm Friedemann, Keyboard Sonata in C major, F.2, nlIIDP-UtzU.mid",True,"Bach, Wilhelm Friedemann",Sonata in C major,"imslp_bootleg_dir-v1.1/Bach,_Wilhelm_Friedemann/Sonata_in_C_major_"
"Bach, Wilhelm Friedemann","Keyboard Sonata in D major, F.4","../GiantMIDI/midis/Bach, Wilhelm Friedemann, Keyboard Sonata in D major, F.4, 1jvWr4arW7o.mid",True,"Bach, Wilhelm Friedemann",Sonata in D major,"imslp_bootleg_dir-v1.1/Bach,_Wilhelm_Friedemann/Sonata_in_D_major_"
"Bach, Wilhelm Friedemann","Keyboard Sonata in B-flat major, F.9","../GiantMIDI/midis/Bach, Wilhelm Friedemann, Keyboard Sonata in B-flat major, F.9, -IZ6PMsbja4.mid",True,"Bach, Wilhelm Friedemann",Sonata in B-flat major,"imslp_bootleg_dir-v1.1/Bach,_Wilhelm_Friedemann/Sonata_in_B-flat_major_"
"Bachelet, Alfred",Dans la montagne,"../GiantMIDI/midis/Bachelet, Alfred, Dans la montagne, f_CQ7z2qUqE.mid",False,,,
"Bachlund, Gary",Hommage à Ravel,"../GiantMIDI/midis/Bachlund, Gary, Hommage à Ravel, d4P7z7wgv-8.mid",False,,,
"Bachlund, Gary",Nocturne and Fugue in D-flat major,"../GiantMIDI/midis/Bachlund, Gary, Nocturne and Fugue in D-flat major, E6eo4-wB1M0.mid",False,,,
"Bachlund, Gary",Prelude and Fugue in B-flat major,"../GiantMIDI/midis/Bachlund, Gary, Prelude and Fugue in B-flat major, 0MdizeVzYPQ.mid",False,,,
"Bachlund, Gary",Prelude and Fugue in C minor,"../GiantMIDI/midis/Bachlund, Gary, Prelude and Fugue in C minor, CGVL5j6BEKs.mid",False,,,
"Bachlund, Gary",Prelude and Fugue in D-flat major,"../GiantMIDI/midis/Bachlund, Gary, Prelude and Fugue in D-flat major, iU27DYGPjhs.mid",False,,,
